month,prime,political,index,GDP,season
17-Apr,2.7,Liberal,266,3.047350681,spring
17-May,2.7,Liberal,268.7,3.047350681,spring
17-Jun,2.7,Liberal,266.7,3.047350681,spring
17-Jul,2.82,Liberal,254.3,3.047350681,summer
17-Aug,2.95,Liberal,248.5,3.047350681,summer
17-Sep,3.08,Liberal,247.3,3.047350681,summer
17-Oct,3.2,Liberal,246.1,3.047350681,fall
17-Nov,3.2,Liberal,245,3.047350681,fall
17-Dec,3.2,Liberal,244.6,3.047350681,fall
18-Jan,3.32,Liberal,244.5,2.07,winter
18-Feb,3.45,Liberal,247.3,2.07,winter
18-Mar,3.45,Liberal,250.3,2.07,winter
18-Apr,3.45,Liberal,252.1,2.07,spring
18-May,3.45,Liberal,254.1,2.07,spring
18-Jun,3.45,Conservative,254,2.07,spring
18-Jul,3.57,Conservative,252.8,2.07,summer
18-Aug,3.7,Conservative,252.1,2.07,summer
18-Sep,3.7,Conservative,252.3,2.07,summer
18-Oct,3.82,Conservative,252.6,2.07,fall
